level,seed,gen,best_fitness,mean_fitness,best_expr,node_count,total_info,monotonicity,mean_rate,parsimony
1,0,2860,-0.0048606,-4000000.01216575,0,1,0.3485,0.0,0.0,0.005
1,0,2870,-0.0048606,-2000000.01190362,0,1,0.3485,0.0,0.0,0.005
1,0,2880,-0.0048606,-3000000.01205522,0,1,0.3485,0.0,0.0,0.005
1,0,2890,-0.0048606,-0.01193187,0,1,0.3485,0.0,0.0,0.005
1,0,2900,-0.0048606,-1000000.01186185,0,1,0.3485,0.0,0.0,0.005
1,0,2910,-0.0048606,-0.01289855,0,1,0.3485,0.0,0.0,0.005
1,0,2920,-0.0048606,-2000000.01217246,0,1,0.3485,0.0,0.0,0.005
1,0,2930,-0.0048606,-0.01225723,0,1,0.3485,0.0,0.0,0.005
1,0,2940,-0.0048606,-0.01270504,0,1,0.3485,0.0,0.0,0.005
1,0,2950,-0.0048606,-2000000.01218049,0,1,0.3485,0.0,0.0,0.005
1,0,2960,-0.0048606,-1000000.01159186,0,1,0.3485,0.0,0.0,0.005
1,0,2970,-0.0048606,-0.01242635,0,1,0.3485,0.0,0.0,0.005
1,0,2980,-0.0048606,-1000000.01194435,0,1,0.3485,0.0,0.0,0.005
1,0,2990,-0.0048606,-1000000.01189834,0,1,0.3485,0.0,0.0,0.005
1,0,3000,-0.0048606,-0.01171562,0,1,0.3485,0.0,0.0,0.005
1,0,3010,-0.0048606,-3000000.01192337,0,1,0.3485,0.0,0.0,0.005
1,0,3020,-0.0048606,-1000000.01154344,0,1,0.3485,0.0,0.0,0.005
1,0,3030,-0.0048606,-1000000.01211597,0,1,0.3485,0.0,0.0,0.005
1,0,3040,-0.0048606,-2000000.01195747,0,1,0.3485,0.0,0.0,0.005
1,0,3050,-0.0048606,-1000000.01183972,0,1,0.3485,0.0,0.0,0.005
1,0,3060,-0.0048606,-1000000.0121832,0,1,0.3485,0.0,0.0,0.005
1,0,3070,-0.0048606,-1000000.012104,0,1,0.3485,0.0,0.0,0.005
1,0,3080,-0.0048606,-1000000.01166945,0,1,0.3485,0.0,0.0,0.005
1,0,3090,-0.0048606,-4000000.01229735,0,1,0.3485,0.0,0.0,0.005
1,0,3100,-0.0048606,-1000000.01167153,0,1,0.3485,0.0,0.0,0.005
1,0,3110,-0.0048606,-1000000.01240289,0,1,0.3485,0.0,0.0,0.005
1,0,3120,-0.0048606,-3000000.01153832,0,1,0.3485,0.0,0.0,0.005
1,0,3130,-0.0048606,-2000000.01250765,0,1,0.3485,0.0,0.0,0.005
1,0,3140,-0.0048606,-0.01187392,0,1,0.3485,0.0,0.0,0.005
1,0,3150,-0.0048606,-3000000.0123813,0,1,0.3485,0.0,0.0,0.005
